trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,area_error,area_error_abs,d,dt,reproduced_period,temporal_error
125,474.467,852.0260000000001,333,0,0,4,1,0,1,vft_matiasherrera,0.00022436545534214292,-0.00022436546038148743,0.08204089463275821,1.35196032,377.5590000000001,-44.55900000000008
126,506.43199999999996,808.4,333,0,0,4,1,0,1,vft_matiasherrera,0.0002980182778949823,-0.0002980182418211331,0.08855282706585943,1.3083868749999998,301.968,31.031999999999982
127,487.46,810.2260000000001,333,0,0,4,1,0,1,vft_matiasherrera,0.0001259397086546815,-0.0001259482030047633,0.08485782832553357,1.310140038,322.76600000000013,10.233999999999867
128,1460.84,1762.3,333,0,0,4,1,0,1,vft_matiasherrera,0.00012506561283322904,-0.00012508133542258972,0.07981596395543326,2.262000188,301.46000000000004,31.539999999999964
129,539.947,842.916,333,0,0,4,1,0,1,vft_matiasherrera,0.00011701429949691753,-0.00011701040834511658,0.08431343369444363,1.3428340010000002,302.96900000000005,30.03099999999995
130,499.94300000000004,842.3510000000001,333,0,0,4,1,0,1,vft_matiasherrera,9.450479006554503e-05,-9.452094019470164e-05,0.07787703396268003,1.342290247,342.4080000000001,-9.408000000000072
131,570.438,823.9119999999999,333,0,0,4,1,0,1,vft_matiasherrera,0.00010304967797987906,-0.0001032297403283254,0.08456549454864223,1.3238639129999998,253.47399999999993,79.52600000000007
132,521.443,876.655,333,0,0,4,1,0,1,vft_matiasherrera,0.00010891598612496151,-0.00010891602331932692,0.08489246220013927,1.3766027079999998,355.212,-22.21199999999999
133,476.673,785.6560000000001,333,0,0,4,1,0,1,vft_matiasherrera,3.597749694242899e-05,-3.7924058685791617e-05,0.08155667103801012,1.2856002169999998,308.98300000000006,24.01699999999994
134,399.694,690.926,333,0,0,4,1,0,1,vft_matiasherrera,0.0001615994646219362,-0.00016382544869094945,0.08463101793818627,1.190825711,291.232,41.76799999999997
135,484.945,843.9060000000001,333,0,0,4,1,0,1,vft_matiasherrera,0.00015364987268358426,-0.00015364953000467196,0.08232483528726259,1.3438501569999999,358.96100000000007,-25.96100000000007
136,527.169,804.393,333,0,0,4,1,0,1,vft_matiasherrera,5.8189465673105804e-05,-5.98954569733454e-05,0.0839411109205691,1.304331036,277.22400000000005,55.775999999999954
137,498.195,847.653,333,0,0,4,1,0,1,vft_matiasherrera,0.00012697051961024373,-0.0001269700693497901,0.07925284436234278,1.34758881,349.458,-16.458000000000027
138,504.435,833.393,333,0,0,4,1,0,1,vft_matiasherrera,0.00016027996968648453,-0.00016068193994477195,0.08504496707985262,1.3333805040000002,328.958,4.041999999999973
139,790.655,1177.86,333,0,0,4,1,0,1,vft_matiasherrera,0.00029621421390571394,-0.00029624364375602447,0.08287586857861534,1.677798594,387.2049999999999,-54.20499999999993
140,671.682,970.1439999999999,333,0,0,4,1,0,1,vft_matiasherrera,0.00014235463560686903,-0.00014235463560686903,0.08315498404755277,1.470065012,298.4619999999999,34.538000000000125
